Transaction_ID,Customer_ID,Date,Time,Zone,Product,Amount,X_Loc,Y_Loc
TXN-62142,9314100,2026-01-20,09:15:59,Electronics,Smart Watch,1115,8181.0,14230.0
TXN-48308,9255900,2026-01-20,09:09:23,Electronics,Headphones,1269,12007.0,10624.0
TXN-32064,9261301,2026-01-20,09:09:13,Beauty,Skincare Set,72,14954.0,262.0
TXN-78313,9264103,2026-01-20,09:10:16,Electronics,4K TV,437,11.0,8526.0
TXN-36413,9261900,2026-01-20,09:09:19,Home,Frame,46,11.0,6296.0
TXN-58977,9251800,2026-01-20,09:09:43,Groceries,Artisan Bread,37,7322.0,2667.0
TXN-32899,9261700,2026-01-20,09:09:25,Electronics,Headphones,1093,132.0,8525.0
TXN-72379,9233100,2026-01-20,09:06:58,Beauty,Skincare Set,43,12598.0,8127.0
TXN-65822,9225400,2026-01-20,09:06:00,Groceries,Organic Coffee,54,8797.0,4917.0
TXN-68587,9310000,2026-01-20,09:13:55,Beauty,Skincare Set,90,13976.0,6277.0
TXN-94016,9230000,2026-01-20,09:06:18,Beauty,Skincare Set,77,14979.0,1479.0
TXN-15004,9272800,2026-01-20,09:11:02,Home,Cushion,28,18.0,1511.0
TXN-26026,9185200,2026-01-20,09:02:04,Beauty,Skincare Set,44,14769.0,50.0
TXN-53153,9273500,2026-01-20,09:11:03,Beauty,Lipstick,113,12842.0,8414.0
TXN-52129,9281000,2026-01-20,09:11:39,Home,Frame,52,1944.0,9.0
TXN-71170,9215900,2026-01-20,09:05:05,Electronics,4K TV,1233,6705.0,13976.0
TXN-39998,9322100,2026-01-20,09:15:19,Beauty,Lipstick,133,14989.0,1509.0
TXN-96354,9341900,2026-01-20,09:17:42,Beauty,Perfume,89,12434.0,9208.0
TXN-72687,9163900,2026-01-20,09:00:13,Beauty,Lipstick,64,14242.0,23.0
TXN-35950,9261300,2026-01-20,09:09:12,Beauty,Skincare Set,91,14971.0,1156.0
TXN-71107,9332200,2026-01-20,09:16:22,Beauty,Skincare Set,50,14993.0,1437.0
TXN-89565,9265201,2026-01-20,09:10:08,Beauty,Skincare Set,139,12909.0,91.0
TXN-20984,9250600,2026-01-20,09:08:31,Beauty,Lipstick,79,12683.0,9636.0
TXN-84874,9240500,2026-01-20,09:07:44,Beauty,Lipstick,78,13932.0,6864.0
TXN-94863,9260100,2026-01-20,09:09:48,Electronics,Headphones,947,15.0,8803.0
TXN-35022,9222900,2026-01-20,09:05:58,Home,Frame,54,42.0,7293.0
TXN-83528,9302500,2026-01-20,09:13:53,Beauty,Skincare Set,124,13757.0,3250.0
TXN-43766,9260301,2026-01-20,09:09:31,Home,Lamp,47,24.0,4916.0
TXN-94757,9311300,2026-01-20,09:14:20,Beauty,Perfume,92,12735.0,19.0
TXN-62532,9223000,2026-01-20,09:05:58,Home,Cushion,41,68.0,6408.0
