Transaction_ID,Customer_ID,Date,Time,Zone,Product,Amount,X_Loc,Y_Loc
TXN-36668,9435300,2026-01-25,09:24:14,Home,Frame,47,2569.0,7315.0
TXN-91752,9491700,2026-01-25,09:29:19,Electronics,4K TV,739,7076.0,14151.0
TXN-53716,10011800,2026-01-25,09:40:59,Electronics,Smart Watch,543,10.0,9587.0
TXN-95860,10045001,2026-01-25,09:44:52,Home,Cushion,40,84.0,5144.0
TXN-73961,9322200,2026-01-25,09:12:50,Home,Lamp,78,8.0,5067.0
TXN-27450,9511300,2026-01-25,09:31:28,Groceries,Organic Coffee,51,11253.0,9286.0
TXN-28022,9410700,2026-01-25,09:21:38,Beauty,Lipstick,103,14991.0,245.0
TXN-58410,9504701,2026-01-25,09:30:29,Beauty,Perfume,38,14973.0,2310.0
TXN-11749,9503300,2026-01-25,09:30:22,Electronics,Smart Watch,572,6104.0,14200.0
TXN-75898,9531300,2026-01-25,09:33:26,Beauty,Lipstick,123,14910.0,14.0
TXN-73076,9511803,2026-01-25,09:30:59,Groceries,Organic Coffee,13,9432.0,2119.0
TXN-32962,9503302,2026-01-25,09:30:50,Groceries,Artisan Bread,46,12224.0,10382.0
TXN-82579,9511302,2026-01-25,09:31:31,Groceries,Organic Coffee,29,9405.0,6140.0
TXN-30953,10002800,2026-01-25,09:40:54,Electronics,Smart Watch,1350,4998.0,7664.0
TXN-50396,10002401,2026-01-25,09:40:07,Groceries,Artisan Bread,53,9540.0,2068.0
TXN-61761,10001500,2026-01-25,09:40:18,Beauty,Perfume,138,14979.0,1369.0
TXN-64536,9342700,2026-01-25,09:14:39,Electronics,4K TV,334,2984.0,7319.0
TXN-97567,9532201,2026-01-25,09:33:02,Beauty,Skincare Set,118,13924.0,4934.0
TXN-66088,9301600,2026-01-25,09:10:06,Beauty,Perfume,68,13918.0,5.0
TXN-89457,9214300,2026-01-25,09:01:58,Beauty,Skincare Set,135,12411.0,9599.0
TXN-58640,10003301,2026-01-25,09:41:23,Home,Lamp,75,4.0,5084.0
TXN-75280,9211000,2026-01-25,09:01:34,Electronics,Smart Watch,1105,6191.0,14371.0
