Transaction_ID,Customer_ID,Date,Time,Zone,Product,Amount,X_Loc,Y_Loc
TXN-26314,9290400,2026-01-22,09:19:50,Home,Frame,43,2467.0,5242.0
TXN-93246,9134000,2026-01-22,09:04:31,Home,Cushion,23,2132.0,5509.0
TXN-25245,9164800,2026-01-22,09:07:08,Beauty,Skincare Set,48,14897.0,30.0
TXN-97187,9424601,2026-01-22,09:33:38,Home,Lamp,17,15.0,5667.0
TXN-68740,9421800,2026-01-22,09:33:02,Groceries,Fresh Produce,47,9193.0,1811.0
TXN-52598,9142100,2026-01-22,09:04:44,Groceries,Artisan Bread,24,8761.0,3122.0
TXN-94734,9173000,2026-01-22,09:08:29,Beauty,Lipstick,137,14985.0,1204.0
TXN-13371,9143400,2026-01-22,09:05:42,Groceries,Fresh Produce,48,9355.0,2246.0
TXN-68329,9340600,2026-01-22,09:24:29,Beauty,Perfume,36,14344.0,49.0
TXN-39016,9390101,2026-01-22,09:29:51,Home,Cushion,24,4857.0,721.0
TXN-93768,9340700,2026-01-22,09:24:31,Beauty,Lipstick,82,13831.0,34.0
TXN-21789,9285300,2026-01-22,09:19:29,Home,Lamp,53,1024.0,5339.0
TXN-34575,9165000,2026-01-22,09:07:36,Home,Lamp,80,22.0,5652.0
TXN-62660,9223400,2026-01-22,09:13:01,Groceries,Artisan Bread,45,9287.0,2459.0
TXN-90513,9325000,2026-01-22,09:23:47,Electronics,Headphones,1069,6032.0,14314.0
TXN-21330,9214100,2026-01-22,09:12:30,Home,Frame,37,30.0,6041.0
TXN-71232,9242400,2026-01-22,09:14:41,Beauty,Lipstick,103,12874.0,8373.0
TXN-82255,9400001,2026-01-22,09:30:28,Electronics,Headphones,838,4199.0,14950.0
TXN-73273,9370201,2026-01-22,09:27:45,Beauty,Lipstick,121,13536.0,6793.0
TXN-96278,9193800,2026-01-22,09:09:55,Beauty,Skincare Set,118,13310.0,9.0
TXN-52511,9221800,2026-01-22,09:13:09,Home,Cushion,45,2070.0,5810.0
TXN-77397,9420900,2026-01-22,09:33:05,Beauty,Perfume,109,13695.0,21.0
TXN-55474,9195601,2026-01-22,09:10:32,Groceries,Fresh Produce,58,8366.0,3602.0
TXN-31699,9385900,2026-01-22,09:29:30,Home,Lamp,31,1958.0,4068.0
TXN-83118,9361700,2026-01-22,09:26:38,Electronics,4K TV,462,152.0,9822.0
TXN-57169,9333300,2026-01-22,09:24:36,Beauty,Lipstick,107,13540.0,6626.0
TXN-21694,9175200,2026-01-22,09:08:16,Beauty,Lipstick,103,14977.0,1245.0
TXN-52069,9281200,2026-01-22,09:19:03,Home,Lamp,54,2.0,4765.0
TXN-81980,9165500,2026-01-22,09:07:46,Home,Lamp,41,11.0,5128.0
TXN-70326,9144700,2026-01-22,09:05:10,Beauty,Perfume,137,14212.0,53.0
TXN-61043,9191300,2026-01-22,09:10:04,Beauty,Lipstick,60,13232.0,5606.0
TXN-68036,9385901,2026-01-22,09:30:03,Home,Cushion,19,4416.0,4401.0
TXN-44568,9325301,2026-01-22,09:23:53,Beauty,Perfume,144,12627.0,8775.0
TXN-69921,9332800,2026-01-22,09:24:30,Home,Frame,63,15.0,6173.0
TXN-69792,9184500,2026-01-22,09:08:59,Beauty,Perfume,64,14970.0,2645.0
TXN-43594,9325700,2026-01-22,09:23:43,Home,Lamp,67,24.0,6050.0
TXN-52580,9113500,2026-01-22,09:02:19,Groceries,Artisan Bread,39,10509.0,3402.0
TXN-64924,9340200,2026-01-22,09:25:10,Electronics,Smart Watch,432,32.0,8775.0
TXN-81741,9220200,2026-01-22,09:12:53,Groceries,Artisan Bread,12,9615.0,2061.0
TXN-89318,9325300,2026-01-22,09:23:35,Groceries,Organic Coffee,45,7300.0,4198.0
