Transaction_ID,Customer_ID,Date,Time,Zone,Product,Amount,X_Loc,Y_Loc
TXN-40498,9200201,2026-01-21,09:16:45,Beauty,Perfume,30,13540.0,6178.0
TXN-94070,9185800,2026-01-21,09:15:26,Electronics,Smart Watch,866,1878.0,7480.0
TXN-18555,9101900,2026-01-21,09:06:57,Beauty,Skincare Set,34,11359.0,1.0
TXN-59367,9154800,2026-01-21,09:13:21,Electronics,4K TV,926,8358.0,13147.0
TXN-92483,9122700,2026-01-21,09:08:49,Groceries,Artisan Bread,14,10048.0,8673.0
TXN-35357,9232400,2026-01-21,09:19:55,Electronics,Headphones,633,5821.0,14243.0
TXN-56399,9294801,2026-01-21,09:26:31,Beauty,Skincare Set,108,11028.0,0.0
TXN-19310,9303300,2026-01-21,09:26:43,Groceries,Fresh Produce,20,8571.0,3019.0
TXN-96893,9103401,2026-01-21,09:07:17,Beauty,Lipstick,39,13628.0,6313.0
TXN-82041,9074100,2026-01-21,09:04:24,Groceries,Organic Coffee,15,9878.0,8703.0
TXN-66984,9154200,2026-01-21,09:12:31,Groceries,Fresh Produce,35,9285.0,8376.0
TXN-29542,9134600,2026-01-21,09:10:28,Beauty,Lipstick,91,13696.0,6412.0
TXN-55422,9181700,2026-01-21,09:14:27,Beauty,Perfume,136,14968.0,1472.0
TXN-17245,9132100,2026-01-21,09:10:06,Home,Cushion,20,1841.0,4097.0
TXN-10609,9223300,2026-01-21,09:19:25,Home,Frame,39,10.0,5568.0
TXN-28969,9242000,2026-01-21,09:21:27,Beauty,Perfume,98,13467.0,6451.0
TXN-70347,9192401,2026-01-21,09:15:47,Home,Cushion,20,53.0,6874.0
TXN-25463,9305400,2026-01-21,09:27:09,Groceries,Organic Coffee,60,9157.0,2897.0
TXN-29959,9240500,2026-01-21,09:20:23,Beauty,Lipstick,49,14983.0,1619.0
TXN-79559,9250000,2026-01-21,09:21:11,Electronics,4K TV,1031,7209.0,13917.0
TXN-16328,9252600,2026-01-21,09:21:47,Home,Cushion,67,51.0,4742.0
TXN-68137,9151901,2026-01-21,09:12:07,Home,Cushion,19,1291.0,4709.0
TXN-66944,9103800,2026-01-21,09:07:17,Beauty,Perfume,68,13378.0,25.0
TXN-71228,9092400,2026-01-21,09:06:03,Beauty,Lipstick,60,13664.0,6776.0
TXN-69226,9300500,2026-01-21,09:26:14,Beauty,Lipstick,33,14990.0,835.0
TXN-77410,9043200,2026-01-21,09:01:18,Groceries,Fresh Produce,49,9622.0,2774.0
TXN-58242,9262301,2026-01-21,09:22:51,Home,Cushion,44,50.0,6629.0
TXN-98009,9111800,2026-01-21,09:08:08,Home,Lamp,71,43.0,5231.0
